time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.074	0.075
10	0.075	0.075	0.075
20	0.075	0.076	0.076
30	0.076	0.076	0.077
40	0.077	0.076	0.078
50	0.077	0.077	0.078
60	0.078	0.077	0.079
70	0.079	0.078	0.08
80	0.079	0.079	0.081
90	0.08	0.079	0.081
100	0.082	0.08	0.083
110	0.083	0.081	0.085
120	0.085	0.082	0.087
130	0.087	0.083	0.088
140	0.089	0.085	0.091
150	0.091	0.086	0.094
160	0.094	0.088	0.097
170	0.098	0.09	0.101
180	0.102	0.092	0.105
190	0.106	0.096	0.11
200	0.111	0.099	0.116
210	0.115	0.102	0.122
220	0.121	0.107	0.128
230	0.126	0.111	0.134
240	0.132	0.116	0.142
250	0.138	0.121	0.151
260	0.142	0.126	0.16
270	0.149	0.132	0.171
280	0.158	0.139	0.18
290	0.163	0.145	0.191
300	0.169	0.153	0.201
310	0.178	0.162	0.21
320	0.187	0.171	0.22
330	0.195	0.181	0.228
340	0.203	0.191	0.236
350	0.209	0.201	0.246
360	0.227	0.214	0.255
370	0.228	0.222	0.263
380	0.235	0.232	0.272
390	0.243	0.242	0.28
400	0.258	0.257	0.288
410	0.258	0.259	0.295
420	0.27	0.269	0.302
430	0.281	0.278	0.309
440	0.291	0.289	0.317
450	0.3	0.296	0.325
460	0.311	0.304	0.33
470	0.319	0.313	0.338
480	0.328	0.32	0.348
490	0.335	0.327	0.354
500	0.341	0.335	0.36
510	0.35	0.343	0.367
520	0.363	0.35	0.371
530	0.377	0.358	0.378
540	0.387	0.368	0.384
550	0.397	0.371	0.388
560	0.402	0.378	0.394
570	0.413	0.385	0.399
580	0.424	0.393	0.404
590	0.438	0.4	0.408
600	0.452	0.408	0.412
610	0.462	0.417	0.417
620	0.472	0.422	0.421
630	0.482	0.43	0.425
640	0.492	0.439	0.427
650	0.5	0.443	0.431
660	0.511	0.448	0.434
670	0.519	0.453	0.437
680	0.529	0.458	0.438
690	0.543	0.463	0.441
700	0.547	0.461	0.443
