time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.074	0.075
10	0.075	0.075	0.076
20	0.075	0.075	0.076
30	0.076	0.076	0.077
40	0.076	0.076	0.078
50	0.077	0.077	0.078
60	0.077	0.077	0.079
70	0.079	0.078	0.08
80	0.079	0.078	0.081
90	0.08	0.079	0.081
100	0.081	0.08	0.083
110	0.083	0.081	0.084
120	0.084	0.082	0.086
130	0.086	0.083	0.088
140	0.088	0.084	0.091
150	0.091	0.086	0.094
160	0.094	0.088	0.097
170	0.097	0.09	0.1
180	0.1	0.092	0.105
190	0.105	0.095	0.11
200	0.109	0.098	0.116
210	0.113	0.102	0.12
220	0.118	0.106	0.127
230	0.123	0.11	0.133
240	0.128	0.115	0.141
250	0.133	0.12	0.149
260	0.138	0.125	0.158
270	0.144	0.132	0.168
280	0.153	0.138	0.178
290	0.157	0.145	0.188
300	0.163	0.153	0.198
310	0.171	0.162	0.207
320	0.177	0.17	0.216
330	0.185	0.18	0.227
340	0.193	0.189	0.234
350	0.201	0.199	0.244
360	0.21	0.21	0.253
370	0.217	0.219	0.261
380	0.224	0.228	0.271
390	0.232	0.238	0.281
400	0.242	0.25	0.29
410	0.248	0.256	0.297
420	0.256	0.264	0.305
430	0.263	0.272	0.314
440	0.272	0.281	0.321
450	0.281	0.289	0.327
460	0.291	0.295	0.334
470	0.298	0.301	0.34
480	0.307	0.308	0.346
490	0.314	0.315	0.352
500	0.324	0.323	0.358
510	0.336	0.329	0.363
520	0.343	0.336	0.369
530	0.357	0.342	0.375
540	0.37	0.35	0.381
550	0.375	0.354	0.386
560	0.388	0.36	0.392
570	0.396	0.368	0.398
580	0.402	0.375	0.401
590	0.413	0.38	0.406
600	0.424	0.387	0.41
610	0.435	0.393	0.415
620	0.448	0.398	0.418
630	0.458	0.406	0.422
640	0.469	0.41	0.425
650	0.478	0.414	0.428
660	0.488	0.42	0.43
670	0.498	0.427	0.432
680	0.505	0.43	0.434
690	0.516	0.435	0.435
700	0.523	0.438	0.436
