time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.074	0.074
10	0.075	0.075	0.075
20	0.075	0.076	0.076
30	0.076	0.076	0.077
40	0.077	0.077	0.077
50	0.077	0.077	0.077
60	0.077	0.077	0.078
70	0.078	0.078	0.079
80	0.079	0.079	0.08
90	0.08	0.079	0.081
100	0.081	0.08	0.082
110	0.083	0.081	0.084
120	0.084	0.082	0.086
130	0.086	0.083	0.088
140	0.088	0.085	0.09
150	0.09	0.086	0.093
160	0.093	0.088	0.096
170	0.096	0.09	0.1
180	0.1	0.092	0.104
190	0.104	0.095	0.109
200	0.108	0.099	0.115
210	0.113	0.102	0.12
220	0.117	0.106	0.126
230	0.122	0.111	0.133
240	0.127	0.115	0.14
250	0.133	0.12	0.148
260	0.137	0.125	0.158
270	0.144	0.132	0.166
280	0.15	0.138	0.175
290	0.154	0.145	0.187
300	0.16	0.152	0.196
310	0.167	0.16	0.206
320	0.173	0.168	0.216
330	0.181	0.177	0.225
340	0.188	0.186	0.234
350	0.197	0.195	0.243
360	0.206	0.204	0.252
370	0.214	0.214	0.262
380	0.222	0.223	0.272
390	0.23	0.233	0.281
400	0.24	0.243	0.29
410	0.245	0.249	0.299
420	0.253	0.258	0.308
430	0.258	0.265	0.316
440	0.265	0.275	0.324
450	0.275	0.282	0.33
460	0.284	0.289	0.337
470	0.29	0.296	0.344
480	0.3	0.301	0.35
490	0.309	0.309	0.355
500	0.319	0.316	0.362
510	0.327	0.321	0.368
520	0.336	0.328	0.374
530	0.346	0.334	0.378
540	0.356	0.341	0.386
550	0.364	0.346	0.39
560	0.377	0.353	0.395
570	0.388	0.36	0.401
580	0.396	0.367	0.405
590	0.409	0.373	0.409
600	0.419	0.379	0.414
610	0.427	0.386	0.419
620	0.438	0.391	0.423
630	0.451	0.396	0.426
640	0.463	0.403	0.429
650	0.471	0.411	0.432
660	0.482	0.416	0.435
670	0.493	0.421	0.437
680	0.501	0.426	0.439
690	0.512	0.431	0.441
700	0.52	0.432	0.441
