time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.075	0.074
10	0.075	0.075	0.076
20	0.075	0.076	0.076
30	0.076	0.076	0.077
40	0.076	0.077	0.077
50	0.077	0.077	0.078
60	0.077	0.078	0.079
70	0.078	0.078	0.08
80	0.079	0.079	0.081
90	0.08	0.08	0.081
100	0.081	0.081	0.083
110	0.082	0.082	0.084
120	0.084	0.083	0.086
130	0.085	0.084	0.088
140	0.087	0.085	0.09
150	0.09	0.086	0.093
160	0.092	0.089	0.096
170	0.095	0.091	0.1
180	0.099	0.093	0.104
190	0.102	0.096	0.109
200	0.107	0.099	0.115
210	0.111	0.103	0.121
220	0.116	0.107	0.127
230	0.121	0.112	0.134
240	0.125	0.116	0.141
250	0.131	0.122	0.15
260	0.136	0.128	0.16
270	0.143	0.134	0.169
280	0.15	0.14	0.177
290	0.155	0.148	0.188
300	0.161	0.156	0.197
310	0.167	0.164	0.207
320	0.172	0.172	0.217
330	0.179	0.181	0.226
340	0.184	0.189	0.236
350	0.191	0.198	0.246
360	0.199	0.207	0.255
370	0.207	0.216	0.264
380	0.214	0.225	0.274
390	0.222	0.233	0.284
400	0.232	0.244	0.294
410	0.237	0.251	0.303
420	0.242	0.258	0.312
430	0.25	0.266	0.32
440	0.259	0.275	0.329
450	0.268	0.283	0.336
460	0.277	0.289	0.343
470	0.285	0.297	0.35
480	0.294	0.303	0.356
490	0.302	0.31	0.362
500	0.311	0.317	0.368
510	0.321	0.324	0.375
520	0.33	0.33	0.38
530	0.339	0.338	0.386
540	0.349	0.344	0.392
550	0.356	0.352	0.396
560	0.37	0.358	0.402
570	0.381	0.365	0.407
580	0.388	0.372	0.411
590	0.4	0.378	0.416
600	0.411	0.384	0.421
610	0.421	0.389	0.425
620	0.432	0.397	0.429
630	0.443	0.402	0.433
640	0.452	0.408	0.436
650	0.464	0.414	0.439
660	0.477	0.419	0.442
670	0.485	0.425	0.444
680	0.497	0.43	0.446
690	0.507	0.437	0.447
700	0.52	0.44	0.448
