Time	OD (0.008)	OD (0.005)	OD (0.004)
10	0,074	0,074	0,075
20	0,074	0,075	0,075
30	0,075	0,076	0,076
40	0,076	0,076	0,077
50	0,077	0,076	0,078
60	0,077	0,077	0,078
70	0,078	0,077	0,079
80	0,08	0,078	0,08
90	0,081	0,079	0,081
100	0,082	0,079	0,081
110	0,085	0,08	0,083
120	0,087	0,081	0,085
130	0,091	0,082	0,087
140	0,095	0,083	0,088
150	0,1	0,085	0,091
160	0,105	0,086	0,094
170	0,112	0,088	0,097
180	0,119	0,09	0,101
190	0,126	0,092	0,105
200	0,134	0,096	0,11
210	0,144	0,099	0,116
220	0,155	0,102	0,122
230	0,168	0,107	0,128
240	0,183	0,111	0,134
250	0,195	0,116	0,142
260	0,21	0,121	0,151
270	0,223	0,126	0,16
280	0,241	0,132	0,171
290	0,256	0,139	0,18
300	0,274	0,145	0,191
310	0,293	0,153	0,201
320	0,314	0,162	0,21
330	0,336	0,171	0,22
340	0,359	0,181	0,228
350	0,383	0,191	0,236
360	0,407	0,201	0,246
370	0,433	0,214	0,255
380	0,455	0,222	0,263
390	0,476	0,232	0,272
400	0,497	0,242	0,28
410	0,52	0,257	0,288
420	0,543	0,259	0,295
430	0,564	0,269	0,302
440	0,582	0,278	0,309
450	0,6	0,289	0,317
460	0,617	0,296	0,325
470	0,632	0,304	0,33
480	0,646	0,313	0,338
490	0,658	0,32	0,348
500	0,668	0,327	0,354
510	0,677	0,335	0,36
520	0,682	0,343	0,367
530	0,684	0,35	0,371
540	0,685	0,358	0,378
550	0,683	0,368	0,384
560	0,681	0,371	0,388
570	0,678	0,378	0,394
580	0,673	0,385	0,399
590	0,67	0,393	0,404
600	0,668	0,4	0,408
610	0,668	0,408	0,412
620	0,667	0,417	0,417
630	0,664	0,422	0,421
640	0,664	0,43	0,425
650	0,661	0,439	0,427
660	0,66	0,443	0,431
670	0,659	0,448	0,434
680	0,656	0,453	0,437
690	0,656	0,458	0,438
700	0,654	0,463	0,441
