  name      fixed?        type          lb          ub    priorl67   priormode    prioru67    rootRhat     postl95     postl67    postmean     postu67     postu95      LP_l95      LP_l67      LP_MLE      LP_u67      LP_u95
noise_sigma_unoalseisB0  Randomized    LogSpace       1E-06     1000000      -999.0      -999.0      -999.0           0     0,01029    0,010699    0,011508    0,012391    0,014545       1E-06       1E-06    0,010563       1E+06       1E+06
        r[0]  Randomized    LogSpace       0,001           1      -999.0      -999.0      -999.0           0    0,010651    0,011396    0,012212    0,012816    0,012914       0,001       0,001     0,01292           1           1
        r[1]  Randomized    LogSpace       0,001           1      -999.0      -999.0      -999.0           0   0,0074949   0,0082849   0,0089638    0,009505   0,0096096       0,001       0,001    0,009505           1           1
        r[2]  Randomized    LogSpace       0,001           1      -999.0      -999.0      -999.0           0    0,010733    0,011577    0,012378    0,013006     0,01309       0,001       0,001    0,013081           1           1
        r[3]  Randomized    LogSpace       0,001           1      -999.0      -999.0      -999.0           0   0,0079454   0,0087541    0,009525    0,010105     0,01025       0,001       0,001    0,010142           1           1
        r[4]  Randomized    LogSpace       0,001           1      -999.0      -999.0      -999.0           0    0,011536    0,012352    0,013241    0,013895    0,013995       0,001       0,001    0,013971           1           1
        r[5]  Randomized    LogSpace       0,001           1      -999.0      -999.0      -999.0           0   0,0094155    0,010174    0,010975     0,01161    0,011717       0,001       0,001    0,011613           1           1
        K[0]  Randomized   RealSpace           0           1      -999.0      -999.0      -999.0           0     0,58109     0,58467     0,59475     0,60757     0,62446           0           0     0,58217           1           1
        K[1]  Randomized   RealSpace           0           1      -999.0      -999.0      -999.0           0      0,4669     0,47714     0,49928      0,5235     0,57339           0           0     0,48115           1           1
        K[2]  Randomized   RealSpace           0           1      -999.0      -999.0      -999.0           0     0,55607     0,56005     0,57019     0,58292     0,59904           0           0     0,56097           1           1
        K[3]  Randomized   RealSpace           0           1      -999.0      -999.0      -999.0           0     0,36978     0,37619     0,39207     0,41262     0,43885           0           0      0,3767           1           1
        K[4]  Randomized   RealSpace           0           1      -999.0      -999.0      -999.0           0     0,53322     0,53738     0,54647     0,55776     0,57321           0           0     0,53897           1           1
        K[5]  Randomized   RealSpace           0           1      -999.0      -999.0      -999.0           0     0,35954     0,36291     0,37406     0,38657     0,40691           0           0     0,36391           1           1
          x0  Randomized    LogSpace      0,0001           1      -999.0      -999.0      -999.0           0   0,0051542   0,0053207   0,0070319   0,0093442    0,012313      0,0001      0,0001    0,005209           1           1
          b0  Randomized   RealSpace           0         0,1      -999.0      -999.0      -999.0           0    0,049722    0,057334    0,063409    0,068379    0,069284           0           0    0,067881         0,1         0,1
