Time	x (1)	YFP (1)	CFP (1)	x (2)	YFP (2)	CFP (2)	x (3)	YFP (3)	CFP (3)	x (4)	YFP (4)	CFP (4)	x (5)	YFP (5)	CFP (5)	x (6)	YFP (6)	CFP (6)
0.00	0.07	5513.00	12225.00	0.07	5493.00	12891.00	0.07	5660.00	12613.00	0.07	5351.00	11866.00	0.08	5578.00	12451.00	0.08	5509.00	12532.00
10.00	0.08	5209.00	11925.00	0.08	5244.00	12617.00	0.07	5379.00	12299.00	0.08	5093.00	11527.00	0.08	5274.00	12112.00	0.08	5230.00	12177.00
20.00	0.08	5098.00	11785.00	0.08	5146.00	12443.00	0.08	5238.00	12188.00	0.08	5013.00	11374.00	0.08	5109.00	11964.00	0.08	5118.00	11960.00
30.00	0.08	4949.00	11621.00	0.08	5044.00	12429.00	0.08	5088.00	12045.00	0.08	5044.00	11306.00	0.08	5021.00	11854.00	0.08	5124.00	11867.00
40.00	0.08	4864.00	11584.00	0.08	5001.00	12389.00	0.08	4991.00	12012.00	0.08	5171.00	11292.00	0.08	4919.00	11763.00	0.08	5194.00	11838.00
50.00	0.08	4773.00	11502.00	0.08	4982.00	12365.00	0.08	4899.00	11899.00	0.08	5308.00	11268.00	0.08	4813.00	11712.00	0.08	5295.00	11807.00
60.00	0.08	4670.00	11495.00	0.08	4946.00	12418.00	0.08	4833.00	11905.00	0.08	5525.00	11211.00	0.08	4738.00	11680.00	0.08	5396.00	11784.00
70.00	0.08	4636.00	11458.00	0.08	5024.00	12470.00	0.08	4784.00	11861.00	0.08	6006.00	11256.00	0.08	4734.00	11646.00	0.08	5551.00	11864.00
80.00	0.08	4549.00	11376.00	0.08	5043.00	12503.00	0.08	4736.00	11845.00	0.08	6658.00	11331.00	0.08	4654.00	11611.00	0.08	5706.00	11820.00
90.00	0.08	4545.00	11388.00	0.08	5185.00	12641.00	0.08	4682.00	11842.00	0.08	7533.00	11324.00	0.09	4584.00	11598.00	0.08	6001.00	11837.00
100.00	0.08	4490.00	11346.00	0.08	5388.00	12820.00	0.08	4682.00	11788.00	0.08	8835.00	11441.00	0.09	4573.00	11569.00	0.08	6302.00	11832.00
110.00	0.08	4485.00	11401.00	0.08	5645.00	13090.00	0.09	4655.00	11821.00	0.08	10529.00	11535.00	0.09	4578.00	11572.00	0.09	6713.00	11818.00
120.00	0.09	4450.00	11325.00	0.09	6046.00	13469.00	0.09	4631.00	11802.00	0.08	12664.00	11680.00	0.09	4532.00	11557.00	0.09	7173.00	11864.00
130.00	0.09	4397.00	11326.00	0.09	6533.00	14002.00	0.09	4576.00	11805.00	0.08	15491.00	11828.00	0.10	4512.00	11565.00	0.09	7744.00	11986.00
140.00	0.09	4404.00	11391.00	0.09	7264.00	14754.00	0.09	4602.00	11781.00	0.09	19030.00	12100.00	0.10	4512.00	11571.00	0.09	8551.00	11976.00
150.00	0.10	4366.00	11362.00	0.09	8102.00	15821.00	0.10	4538.00	11825.00	0.09	23253.00	12392.00	0.11	4482.00	11544.00	0.09	9369.00	12052.00
160.00	0.10	4359.00	11370.00	0.09	9218.00	17115.00	0.10	4567.00	11825.00	0.09	28492.00	12782.00	0.12	4482.00	11584.00	0.10	10437.00	12137.00
170.00	0.11	4374.00	11404.00	0.10	10527.00	18803.00	0.11	4541.00	11792.00	0.09	34828.00	13304.00	0.12	4490.00	11632.00	0.10	11691.00	12220.00
180.00	0.11	4397.00	11438.00	0.10	12065.00	20921.00	0.12	4567.00	11893.00	0.09	42000.00	13860.00	0.13	4532.00	11652.00	0.11	12996.00	12402.00
190.00	0.12	4383.00	11401.00	0.11	13751.00	23345.00	0.12	4531.00	11835.00	0.10	50386.00	14745.00	0.14	4568.00	11724.00	0.11	14634.00	12538.00
200.00	0.13	4441.00	11447.00	0.11	15721.00	26289.00	0.13	4610.00	11871.00	0.10	59756.00	15719.00	0.15	4661.00	11770.00	0.12	16359.00	12769.00
210.00	0.13	4444.00	11533.00	0.12	17686.00	29632.00	0.14	4638.00	11935.00	0.10	69509.00	16928.00	0.16	4745.00	11819.00	0.12	18020.00	13010.00
220.00	0.14	4528.00	11609.00	0.12	19860.00	33560.00	0.15	4778.00	12005.00	0.11	79965.00	18530.00	0.17	4891.00	11942.00	0.13	19954.00	13251.00
230.00	0.15	4652.00	11642.00	0.13	21786.00	37498.00	0.16	4848.00	12056.00	0.11	90563.00	20326.00	0.18	5033.00	12070.00	0.13	22146.00	13588.00
240.00	0.16	4739.00	11828.00	0.13	23778.00	41780.00	0.17	4951.00	12205.00	0.12	100822.00	22584.00	0.19	5208.00	12249.00	0.14	24536.00	13852.00
250.00	0.17	4889.00	11881.00	0.14	25802.00	45914.00	0.18	5102.00	12336.00	0.12	110247.00	24831.00	0.20	5380.00	12376.00	0.15	27217.00	14388.00
260.00	0.19	5101.00	12051.00	0.14	27941.00	50013.00	0.19	5283.00	12481.00	0.13	119097.00	27193.00	0.22	5655.00	12598.00	0.16	29984.00	14881.00
