time	OD 1	OD 2	OD 3	OD 4	OD 5	OD 6
0	0.074	0.074	0.073	0.074	0.075	0.075
10	0.075	0.075	0.074	0.075	0.075	0.075
20	0.075	0.075	0.075	0.076	0.076	0.076
30	0.076	0.076	0.076	0.076	0.077	0.077
40	0.076	0.077	0.076	0.076	0.078	0.078
50	0.077	0.077	0.077	0.077	0.079	0.078
60	0.078	0.078	0.078	0.077	0.08	0.079
70	0.079	0.079	0.079	0.078	0.081	0.08
80	0.08	0.079	0.08	0.079	0.083	0.081
90	0.081	0.08	0.081	0.079	0.085	0.081
100	0.083	0.082	0.083	0.08	0.087	0.083
110	0.084	0.083	0.085	0.081	0.09	0.085
120	0.087	0.085	0.088	0.082	0.094	0.087
130	0.089	0.087	0.09	0.083	0.098	0.088
140	0.092	0.089	0.094	0.085	0.103	0.091
150	0.096	0.091	0.098	0.086	0.109	0.094
160	0.101	0.094	0.103	0.088	0.116	0.097
170	0.106	0.098	0.109	0.09	0.122	0.101
180	0.112	0.102	0.115	0.092	0.129	0.105
190	0.118	0.106	0.122	0.096	0.137	0.11
200	0.125	0.111	0.129	0.099	0.147	0.116
210	0.132	0.115	0.137	0.102	0.158	0.122
220	0.141	0.121	0.146	0.107	0.169	0.128
230	0.151	0.126	0.157	0.111	0.181	0.134
240	0.162	0.132	0.169	0.116	0.192	0.142
250	0.173	0.138	0.18	0.121	0.204	0.151
260	0.186	0.142	0.192	0.126	0.217	0.16
270	0.199	0.149	0.206	0.132	0.233	0.171
280	0.211	0.158	0.217	0.139	0.247	0.18
290	0.225	0.163	0.232	0.145	0.262	0.191
300	0.239	0.169	0.247	0.153	0.278	0.201
310	0.255	0.178	0.262	0.162	0.294	0.21
320	0.27	0.187	0.275	0.171	0.313	0.22
330	0.286	0.195	0.292	0.181	0.332	0.228
340	0.303	0.203	0.309	0.191	0.346	0.236
350	0.32	0.209	0.325	0.201	0.364	0.246
360	0.341	0.227	0.343	0.214	0.38	0.255
370	0.359	0.228	0.361	0.222	0.394	0.263
380	0.379	0.235	0.381	0.232	0.415	0.272
390	0.396	0.243	0.4	0.242	0.43	0.28
400	0.415	0.258	0.419	0.257	0.453	0.288
410	0.436	0.258	0.44	0.259	0.468	0.295
420	0.453	0.27	0.456	0.269	0.479	0.302
430	0.472	0.281	0.475	0.278	0.496	0.309
440	0.49	0.291	0.492	0.289	0.512	0.317
450	0.508	0.3	0.506	0.296	0.523	0.325
460	0.526	0.311	0.521	0.304	0.539	0.33
470	0.543	0.319	0.537	0.313	0.552	0.338
480	0.558	0.328	0.551	0.32	0.565	0.348
490	0.572	0.335	0.565	0.327	0.577	0.354
500	0.586	0.341	0.577	0.335	0.587	0.36
510	0.598	0.35	0.589	0.343	0.594	0.367
520	0.613	0.363	0.597	0.35	0.601	0.371
530	0.621	0.377	0.606	0.358	0.605	0.378
540	0.629	0.387	0.612	0.368	0.608	0.384
550	0.637	0.397	0.618	0.371	0.609	0.388
560	0.64	0.402	0.621	0.378	0.612	0.394
570	0.642	0.413	0.622	0.385	0.609	0.399
580	0.643	0.424	0.622	0.393	0.608	0.404
590	0.642	0.438	0.622	0.4	0.605	0.408
600	0.639	0.452	0.62	0.408	0.603	0.412
610	0.637	0.462	0.617	0.417	0.6	0.417
620	0.635	0.472	0.614	0.422	0.597	0.421
630	0.626	0.482	0.611	0.43	0.595	0.425
640	0.626	0.492	0.609	0.439	0.594	0.427
650	0.624	0.5	0.605	0.443	0.592	0.431
660	0.618	0.511	0.602	0.448	0.592	0.434
670	0.619	0.519	0.6	0.453	0.592	0.437
680	0.615	0.529	0.598	0.458	0.59	0.438
690	0.618	0.543	0.597	0.463	0.589	0.441
700	0.617	0.547	0.59	0.461	0.586	0.443
