time	OD 1	OD 2	OD 3	OD 4	OD 5	OD 6
0	0.074	0.074	0.074	0.074	0.075	0.075
10	0.075	0.075	0.075	0.075	0.075	0.076
20	0.075	0.075	0.075	0.075	0.076	0.076
30	0.076	0.076	0.076	0.076	0.077	0.077
40	0.077	0.076	0.077	0.076	0.078	0.078
50	0.077	0.077	0.077	0.077	0.079	0.078
60	0.078	0.077	0.078	0.077	0.08	0.079
70	0.079	0.079	0.079	0.078	0.081	0.08
80	0.08	0.079	0.081	0.078	0.083	0.081
90	0.081	0.08	0.082	0.079	0.084	0.081
100	0.083	0.081	0.083	0.08	0.087	0.083
110	0.084	0.083	0.085	0.081	0.09	0.084
120	0.087	0.084	0.088	0.082	0.094	0.086
130	0.089	0.086	0.091	0.083	0.098	0.088
140	0.092	0.088	0.094	0.084	0.103	0.091
150	0.096	0.091	0.098	0.086	0.109	0.094
160	0.1	0.094	0.103	0.088	0.115	0.097
170	0.106	0.097	0.109	0.09	0.122	0.1
180	0.112	0.1	0.115	0.092	0.129	0.105
190	0.118	0.105	0.122	0.095	0.137	0.11
200	0.125	0.109	0.129	0.098	0.146	0.116
210	0.132	0.113	0.137	0.102	0.157	0.12
220	0.141	0.118	0.146	0.106	0.169	0.127
230	0.151	0.123	0.157	0.11	0.182	0.133
240	0.161	0.128	0.168	0.115	0.194	0.141
250	0.172	0.133	0.18	0.12	0.206	0.149
260	0.184	0.138	0.191	0.125	0.218	0.158
270	0.197	0.144	0.203	0.132	0.232	0.168
280	0.21	0.153	0.215	0.138	0.245	0.178
290	0.223	0.157	0.23	0.145	0.26	0.188
300	0.239	0.163	0.244	0.153	0.276	0.198
310	0.255	0.171	0.26	0.162	0.291	0.207
320	0.271	0.177	0.275	0.17	0.306	0.216
330	0.286	0.185	0.291	0.18	0.324	0.227
340	0.303	0.193	0.307	0.189	0.342	0.234
350	0.32	0.201	0.324	0.199	0.359	0.244
360	0.337	0.21	0.341	0.21	0.378	0.253
370	0.356	0.217	0.359	0.219	0.397	0.261
380	0.377	0.224	0.379	0.228	0.417	0.271
390	0.395	0.232	0.397	0.238	0.435	0.281
400	0.414	0.242	0.416	0.25	0.449	0.29
410	0.435	0.248	0.434	0.256	0.464	0.297
420	0.455	0.256	0.453	0.264	0.48	0.305
430	0.473	0.263	0.471	0.272	0.495	0.314
440	0.49	0.272	0.487	0.281	0.509	0.321
450	0.506	0.281	0.503	0.289	0.523	0.327
460	0.524	0.291	0.518	0.295	0.536	0.334
470	0.54	0.298	0.533	0.301	0.55	0.34
480	0.555	0.307	0.545	0.308	0.56	0.346
490	0.571	0.314	0.557	0.315	0.572	0.352
500	0.585	0.324	0.572	0.323	0.583	0.358
510	0.596	0.336	0.584	0.329	0.589	0.363
520	0.609	0.343	0.592	0.336	0.596	0.369
530	0.617	0.357	0.6	0.342	0.598	0.375
540	0.623	0.37	0.604	0.35	0.6	0.381
550	0.629	0.375	0.607	0.354	0.599	0.386
560	0.629	0.388	0.616	0.36	0.594	0.392
570	0.631	0.396	0.616	0.368	0.599	0.398
580	0.634	0.402	0.615	0.375	0.597	0.401
590	0.632	0.413	0.612	0.38	0.593	0.406
600	0.63	0.424	0.613	0.387	0.591	0.41
610	0.628	0.435	0.609	0.393	0.588	0.415
620	0.625	0.448	0.607	0.398	0.586	0.418
630	0.621	0.458	0.603	0.406	0.585	0.422
640	0.619	0.469	0.601	0.41	0.584	0.425
650	0.615	0.478	0.597	0.414	0.585	0.428
660	0.613	0.488	0.594	0.42	0.585	0.43
670	0.614	0.498	0.591	0.427	0.583	0.432
680	0.613	0.505	0.591	0.43	0.583	0.434
690	0.613	0.516	0.59	0.435	0.581	0.435
700	0.615	0.523	0.587	0.438	0.579	0.436
