time	OD 1	OD 2	OD 3	OD 4	OD 5	OD 6
0	0.074	0.074	0.074	0.074	0.074	0.074
10	0.074	0.075	0.074	0.075	0.075	0.075
20	0.075	0.075	0.075	0.076	0.076	0.076
30	0.076	0.076	0.076	0.076	0.076	0.077
40	0.077	0.077	0.077	0.077	0.077	0.077
50	0.077	0.077	0.077	0.077	0.078	0.077
60	0.078	0.077	0.078	0.077	0.079	0.078
70	0.079	0.078	0.079	0.078	0.081	0.079
80	0.08	0.079	0.08	0.079	0.082	0.08
90	0.081	0.08	0.081	0.079	0.084	0.081
100	0.083	0.081	0.083	0.08	0.086	0.082
110	0.084	0.083	0.085	0.081	0.089	0.084
120	0.086	0.084	0.087	0.082	0.093	0.086
130	0.089	0.086	0.091	0.083	0.097	0.088
140	0.092	0.088	0.094	0.085	0.102	0.09
150	0.096	0.09	0.098	0.086	0.108	0.093
160	0.1	0.093	0.103	0.088	0.114	0.096
170	0.105	0.096	0.109	0.09	0.12	0.1
180	0.112	0.1	0.115	0.092	0.127	0.104
190	0.118	0.104	0.121	0.095	0.136	0.109
200	0.125	0.108	0.128	0.099	0.145	0.115
210	0.132	0.113	0.136	0.102	0.156	0.12
220	0.14	0.117	0.145	0.106	0.169	0.126
230	0.15	0.122	0.156	0.111	0.184	0.133
240	0.161	0.127	0.168	0.115	0.196	0.14
250	0.173	0.133	0.18	0.12	0.21	0.148
260	0.184	0.137	0.191	0.125	0.223	0.158
270	0.197	0.144	0.203	0.132	0.236	0.166
280	0.208	0.15	0.214	0.138	0.25	0.175
290	0.224	0.154	0.229	0.145	0.263	0.187
300	0.24	0.16	0.244	0.152	0.279	0.196
310	0.257	0.167	0.258	0.16	0.294	0.206
320	0.273	0.173	0.274	0.168	0.311	0.216
330	0.289	0.181	0.291	0.177	0.327	0.225
340	0.306	0.188	0.306	0.186	0.345	0.234
350	0.324	0.197	0.324	0.195	0.363	0.243
360	0.342	0.206	0.342	0.204	0.383	0.252
370	0.362	0.214	0.361	0.214	0.404	0.262
380	0.382	0.222	0.381	0.223	0.424	0.272
390	0.402	0.23	0.4	0.233	0.441	0.281
400	0.422	0.24	0.418	0.243	0.458	0.29
410	0.445	0.245	0.438	0.249	0.474	0.299
420	0.464	0.253	0.458	0.258	0.487	0.308
430	0.481	0.258	0.474	0.265	0.5	0.316
440	0.498	0.265	0.488	0.275	0.518	0.324
450	0.516	0.275	0.504	0.282	0.53	0.33
460	0.529	0.284	0.517	0.289	0.544	0.337
470	0.547	0.29	0.534	0.296	0.556	0.344
480	0.563	0.3	0.548	0.301	0.568	0.35
490	0.577	0.309	0.559	0.309	0.578	0.355
500	0.591	0.319	0.57	0.316	0.586	0.362
510	0.602	0.327	0.584	0.321	0.593	0.368
520	0.615	0.336	0.594	0.328	0.598	0.374
530	0.621	0.346	0.6	0.334	0.6	0.378
540	0.631	0.356	0.604	0.341	0.603	0.386
550	0.633	0.364	0.609	0.346	0.6	0.39
560	0.636	0.377	0.612	0.353	0.598	0.395
570	0.638	0.388	0.614	0.36	0.599	0.401
580	0.636	0.396	0.612	0.367	0.597	0.405
590	0.636	0.409	0.61	0.373	0.593	0.409
600	0.635	0.419	0.611	0.379	0.592	0.414
610	0.633	0.427	0.606	0.386	0.59	0.419
620	0.629	0.438	0.605	0.391	0.586	0.423
630	0.626	0.451	0.601	0.396	0.587	0.426
640	0.623	0.463	0.598	0.403	0.586	0.429
650	0.622	0.471	0.596	0.411	0.588	0.432
660	0.621	0.482	0.595	0.416	0.588	0.435
670	0.625	0.493	0.591	0.421	0.586	0.437
680	0.627	0.501	0.594	0.426	0.589	0.439
690	0.629	0.512	0.593	0.431	0.591	0.441
700	0.628	0.52	0.595	0.432	0.59	0.441
