time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.076	0.074
10	0.075	0.077	0.075
20	0.075	0.077	0.076
30	0.076	0.077	0.077
40	0.076	0.078	0.077
50	0.077	0.078	0.078
60	0.077	0.079	0.078
70	0.078	0.079	0.079
80	0.079	0.08	0.08
90	0.08	0.08	0.081
100	0.081	0.081	0.082
110	0.082	0.082	0.084
120	0.084	0.083	0.086
130	0.086	0.087	0.088
140	0.088	0.086	0.09
150	0.09	0.087	0.093
160	0.093	0.089	0.096
170	0.096	0.091	0.1
180	0.1	0.094	0.104
190	0.103	0.096	0.109
200	0.108	0.1	0.115
210	0.112	0.103	0.121
220	0.117	0.108	0.127
230	0.122	0.111	0.134
240	0.127	0.116	0.141
250	0.132	0.122	0.149
260	0.138	0.127	0.158
270	0.145	0.133	0.167
280	0.152	0.141	0.175
290	0.158	0.148	0.186
300	0.163	0.156	0.195
310	0.171	0.163	0.205
320	0.178	0.171	0.215
330	0.184	0.179	0.223
340	0.191	0.188	0.233
350	0.198	0.197	0.242
360	0.208	0.204	0.251
370	0.215	0.212	0.261
380	0.222	0.22	0.27
390	0.23	0.229	0.279
400	0.241	0.238	0.289
410	0.246	0.245	0.298
420	0.253	0.253	0.308
430	0.261	0.26	0.316
440	0.269	0.267	0.324
450	0.276	0.275	0.331
460	0.285	0.282	0.339
470	0.295	0.288	0.345
480	0.305	0.295	0.352
490	0.314	0.302	0.359
500	0.322	0.309	0.364
510	0.331	0.315	0.371
520	0.34	0.322	0.377
530	0.349	0.329	0.383
540	0.357	0.333	0.389
550	0.367	0.34	0.394
560	0.381	0.347	0.399
570	0.394	0.353	0.404
580	0.395	0.36	0.409
590	0.411	0.366	0.413
600	0.423	0.372	0.418
610	0.432	0.379	0.422
620	0.44	0.386	0.427
630	0.451	0.39	0.43
640	0.461	0.395	0.434
650	0.474	0.4	0.436
660	0.484	0.406	0.439
670	0.492	0.41	0.442
680	0.504	0.415	0.444
690	0.514	0.422	0.445
700	0.523	0.425	0.446
