time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.075	0.075
10	0.075	0.076	0.076
20	0.075	0.077	0.076
30	0.076	0.077	0.077
40	0.076	0.078	0.078
50	0.077	0.078	0.078
60	0.077	0.079	0.079
70	0.078	0.079	0.08
80	0.079	0.08	0.081
90	0.08	0.08	0.082
100	0.081	0.081	0.083
110	0.083	0.082	0.085
120	0.084	0.083	0.086
130	0.086	0.084	0.088
140	0.088	0.085	0.091
150	0.09	0.087	0.094
160	0.093	0.089	0.097
170	0.096	0.091	0.101
180	0.099	0.093	0.105
190	0.103	0.096	0.11
200	0.108	0.099	0.116
210	0.112	0.102	0.121
220	0.117	0.107	0.128
230	0.122	0.111	0.135
240	0.127	0.115	0.143
250	0.132	0.121	0.151
260	0.138	0.126	0.16
270	0.145	0.132	0.17
280	0.151	0.139	0.18
290	0.158	0.146	0.19
300	0.164	0.154	0.199
310	0.172	0.162	0.209
320	0.179	0.171	0.219
330	0.186	0.179	0.228
340	0.194	0.188	0.237
350	0.2	0.197	0.247
360	0.209	0.206	0.257
370	0.217	0.215	0.268
380	0.225	0.224	0.277
390	0.233	0.232	0.288
400	0.24	0.241	0.298
410	0.249	0.248	0.307
420	0.259	0.256	0.316
430	0.267	0.264	0.324
440	0.275	0.272	0.332
450	0.284	0.279	0.34
460	0.294	0.287	0.348
470	0.298	0.293	0.354
480	0.312	0.301	0.361
490	0.322	0.308	0.368
500	0.331	0.315	0.376
510	0.34	0.321	0.385
520	0.352	0.329	0.393
530	0.361	0.336	0.398
540	0.378	0.341	0.402
550	0.382	0.349	0.407
560	0.392	0.357	0.412
570	0.404	0.363	0.417
580	0.414	0.37	0.423
590	0.425	0.376	0.427
600	0.436	0.382	0.432
610	0.45	0.388	0.438
620	0.459	0.394	0.441
630	0.472	0.398	0.445
640	0.483	0.404	0.448
650	0.492	0.409	0.451
660	0.503	0.416	0.454
670	0.514	0.42	0.456
680	0.519	0.427	0.458
690	0.531	0.433	0.46
700	0.545	0.437	0.461
