time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.076	0.075
10	0.075	0.076	0.076
20	0.076	0.077	0.076
30	0.077	0.078	0.077
40	0.077	0.078	0.077
50	0.077	0.078	0.078
60	0.081	0.079	0.079
70	0.083	0.079	0.08
80	0.084	0.08	0.081
90	0.082	0.081	0.081
100	0.082	0.081	0.083
110	0.083	0.082	0.084
120	0.085	0.083	0.086
130	0.087	0.085	0.088
140	0.089	0.086	0.091
150	0.091	0.087	0.094
160	0.094	0.089	0.097
170	0.097	0.091	0.1
180	0.1	0.093	0.104
190	0.104	0.096	0.109
200	0.109	0.1	0.115
210	0.113	0.103	0.121
220	0.118	0.107	0.127
230	0.123	0.111	0.134
240	0.128	0.116	0.141
250	0.134	0.121	0.15
260	0.14	0.127	0.159
270	0.147	0.133	0.169
280	0.154	0.139	0.178
290	0.161	0.147	0.189
300	0.168	0.155	0.199
310	0.176	0.163	0.208
320	0.184	0.172	0.217
330	0.192	0.181	0.226
340	0.201	0.191	0.236
350	0.208	0.201	0.246
360	0.219	0.211	0.257
370	0.227	0.221	0.266
380	0.237	0.231	0.277
390	0.243	0.241	0.287
400	0.251	0.251	0.297
410	0.262	0.258	0.308
420	0.272	0.266	0.318
430	0.28	0.275	0.327
440	0.289	0.283	0.336
450	0.298	0.29	0.345
460	0.307	0.299	0.355
470	0.316	0.306	0.365
480	0.325	0.313	0.374
490	0.335	0.321	0.381
500	0.342	0.329	0.391
510	0.355	0.336	0.397
520	0.366	0.343	0.404
530	0.382	0.349	0.413
540	0.394	0.355	0.419
550	0.401	0.363	0.426
560	0.414	0.37	0.433
570	0.425	0.376	0.44
580	0.438	0.384	0.446
590	0.446	0.39	0.452
600	0.456	0.397	0.459
610	0.465	0.405	0.467
620	0.475	0.41	0.473
630	0.489	0.416	0.48
640	0.497	0.421	0.486
650	0.508	0.428	0.492
660	0.518	0.435	0.497
670	0.531	0.441	0.501
680	0.541	0.446	0.506
690	0.552	0.452	0.509
700	0.561	0.455	0.511
