time	OD (0.008)	OD (0.005)	OD (0.004)
0	0.074	0.075	0.074
10	0.076	0.076	0.075
20	0.076	0.077	0.076
30	0.076	0.077	0.076
40	0.077	0.077	0.077
50	0.077	0.078	0.078
60	0.078	0.078	0.078
70	0.079	0.079	0.079
80	0.08	0.08	0.08
90	0.08	0.08	0.081
100	0.082	0.081	0.082
110	0.082	0.082	0.084
120	0.084	0.083	0.085
130	0.086	0.084	0.087
140	0.088	0.085	0.09
150	0.09	0.087	0.092
160	0.093	0.088	0.096
170	0.096	0.091	0.099
180	0.099	0.093	0.103
190	0.103	0.096	0.109
200	0.108	0.099	0.114
210	0.112	0.102	0.12
220	0.117	0.107	0.126
230	0.122	0.111	0.132
240	0.127	0.116	0.139
250	0.133	0.121	0.148
260	0.138	0.126	0.157
270	0.145	0.132	0.167
280	0.152	0.139	0.178
290	0.157	0.146	0.188
300	0.165	0.153	0.197
310	0.172	0.162	0.206
320	0.178	0.17	0.214
330	0.186	0.179	0.224
340	0.196	0.189	0.235
350	0.206	0.199	0.244
360	0.213	0.208	0.255
370	0.22	0.219	0.265
380	0.231	0.23	0.275
390	0.239	0.241	0.284
400	0.249	0.252	0.293
410	0.253	0.259	0.301
420	0.266	0.269	0.31
430	0.274	0.279	0.317
440	0.283	0.285	0.326
450	0.291	0.295	0.333
460	0.303	0.302	0.339
470	0.311	0.31	0.345
480	0.321	0.317	0.352
490	0.331	0.325	0.359
500	0.344	0.334	0.364
510	0.352	0.343	0.37
520	0.366	0.35	0.377
530	0.378	0.356	0.383
540	0.388	0.363	0.388
550	0.397	0.368	0.393
560	0.407	0.376	0.398
570	0.42	0.382	0.404
580	0.434	0.388	0.41
590	0.446	0.395	0.417
600	0.456	0.402	0.424
610	0.465	0.41	0.431
620	0.476	0.416	0.442
630	0.488	0.424	0.452
640	0.498	0.429	0.463
650	0.509	0.436	0.471
660	0.52	0.442	0.478
670	0.533	0.447	0.482
680	0.541	0.454	0.483
690	0.549	0.459	0.484
700	0.561	0.465	0.487
