time	OD S1YC -	OD S1YC +	OD S1YC PSC -	OD S1YC PSC +	OD S1YC COLE1 -	OD S1YC COLE1 +	CFP S1YC -	CFP S1YC +	CFP S1YC PSC -	CFP S1YC PSC +	CFP S1YC COLE1 -	CFP S1YC COLE1 +	YFP S1YC -	YFP S1YC +	YFP S1YC PSC -	YFP S1YC PSC +	YFP S1YC COLE1 -	YFP S1YC COLE1 +
0	0,074	0,074	0,073	0,074	0,075	0,075	12225	12891	12613	11866	12451	12532	5513	5493	5660	5351	5578	5509
10	0,075	0,075	0,074	0,075	0,075	0,075	11925	12617	12299	11527	12112	12177	5209	5244	5379	5093	5274	5230
20	0,075	0,075	0,075	0,076	0,076	0,076	11785	12443	12188	11374	11964	11960	5098	5146	5238	5013	5109	5118
30	0,076	0,076	0,076	0,076	0,077	0,077	11621	12429	12045	11306	11854	11867	4949	5044	5088	5044	5021	5124
40	0,076	0,077	0,076	0,076	0,078	0,078	11584	12389	12012	11292	11763	11838	4864	5001	4991	5171	4919	5194
50	0,077	0,077	0,077	0,077	0,079	0,078	11502	12365	11899	11268	11712	11807	4773	4982	4899	5308	4813	5295
60	0,078	0,078	0,078	0,077	0,08	0,079	11495	12418	11905	11211	11680	11784	4670	4946	4833	5525	4738	5396
70	0,079	0,079	0,079	0,078	0,081	0,08	11458	12470	11861	11256	11646	11864	4636	5024	4784	6006	4734	5551
80	0,08	0,079	0,08	0,079	0,083	0,081	11376	12503	11845	11331	11611	11820	4549	5043	4736	6658	4654	5706
90	0,081	0,08	0,081	0,079	0,085	0,081	11388	12641	11842	11324	11598	11837	4545	5185	4682	7533	4584	6001
100	0,083	0,082	0,083	0,08	0,087	0,083	11346	12820	11788	11441	11569	11832	4490	5388	4682	8835	4573	6302
110	0,084	0,083	0,085	0,081	0,09	0,085	11401	13090	11821	11535	11572	11818	4485	5645	4655	10529	4578	6713
120	0,087	0,085	0,088	0,082	0,094	0,087	11325	13469	11802	11680	11557	11864	4450	6046	4631	12664	4532	7173
130	0,089	0,087	0,09	0,083	0,098	0,088	11326	14002	11805	11828	11565	11986	4397	6533	4576	15491	4512	7744
140	0,092	0,089	0,094	0,085	0,103	0,091	11391	14754	11781	12100	11571	11976	4404	7264	4602	19030	4512	8551
150	0,096	0,091	0,098	0,086	0,109	0,094	11362	15821	11825	12392	11544	12052	4366	8102	4538	23253	4482	9369
160	0,101	0,094	0,103	0,088	0,116	0,097	11370	17115	11825	12782	11584	12137	4359	9218	4567	28492	4482	10437
170	0,106	0,098	0,109	0,09	0,122	0,101	11404	18803	11792	13304	11632	12220	4374	10527	4541	34828	4490	11691
180	0,112	0,102	0,115	0,092	0,129	0,105	11438	20921	11893	13860	11652	12402	4397	12065	4567	42000	4532	12996
190	0,118	0,106	0,122	0,096	0,137	0,11	11401	23345	11835	14745	11724	12538	4383	13751	4531	50386	4568	14634
200	0,125	0,111	0,129	0,099	0,147	0,116	11447	26289	11871	15719	11770	12769	4441	15721	4610	59756	4661	16359
210	0,132	0,115	0,137	0,102	0,158	0,122	11533	29632	11935	16928	11819	13010	4444	17686	4638	69509	4745	18020
220	0,141	0,121	0,146	0,107	0,169	0,128	11609	33560	12005	18530	11942	13251	4528	19860	4778	79965	4891	19954
230	0,151	0,126	0,157	0,111	0,181	0,134	11642	37498	12056	20326	12070	13588	4652	21786	4848	90563	5033	22146
240	0,162	0,132	0,169	0,116	0,192	0,142	11828	41780	12205	22584	12249	13852	4739	23778	4951	100822	5208	24536
250	0,173	0,138	0,18	0,121	0,204	0,151	11881	45914	12336	24831	12376	14388	4889	25802	5102	110247	5380	27217
260	0,186	0,142	0,192	0,126	0,217	0,16	12051	50013	12481	27193	12598	14881	5101	27941	5283	119097	5655	29984
270	0,199	0,149	0,206	0,132	0,233	0,171	12261	54641	12604	29750	12792	15408	5252	30332	5512	129420	5904	33098
280	0,211	0,158	0,217	0,139	0,247	0,18	12417	60159	12828	32608	13027	16025	5441	32813	5747	139263	6212	35788
290	0,225	0,163	0,232	0,145	0,262	0,191	12623	65387	13015	35506	13278	16621	5751	35087	5994	149791	6515	39157
300	0,239	0,169	0,247	0,153	0,278	0,201	12913	70757	13255	38725	13522	17378	6055	37558	6337	160543	6930	42279
310	0,255	0,178	0,262	0,162	0,294	0,21	13148	76769	13461	42052	13931	18002	6389	40410	6675	171195	7370	45569
320	0,27	0,187	0,275	0,171	0,313	0,22	13472	83040	13856	45594	14331	18658	6770	43213	7054	181164	7867	48740
330	0,286	0,195	0,292	0,181	0,332	0,228	13826	89244	14182	49366	14726	19402	7230	45934	7504	191808	8450	51792
340	0,303	0,203	0,309	0,191	0,346	0,236	14230	96411	14569	53517	15187	20002	7741	48909	8009	201917	9099	54575
350	0,32	0,209	0,325	0,201	0,364	0,246	14729	103324	15020	57619	15827	20608	8307	51924	8626	211822	9739	57958
360	0,341	0,227	0,343	0,214	0,38	0,255	15209	110654	15420	61962	16457	21259	8913	55038	9259	219911	10502	60787
370	0,359	0,228	0,361	0,222	0,394	0,263	15792	118330	16107	65974	17127	21795	9635	58105	9910	228601	11298	64088
380	0,379	0,235	0,381	0,232	0,415	0,272	16539	126280	16739	70362	17834	22379	10378	61349	10651	236040	12179	67441
390	0,396	0,243	0,4	0,242	0,43	0,28	17260	134378	17409	74166	18665	22960	11209	64182	11479	243169	13187	70804
400	0,415	0,258	0,419	0,257	0,453	0,288	17983	142666	18186	77893	19533	23551	12094	66630	12358	248574	14170	74117
410	0,436	0,258	0,44	0,259	0,468	0,295	18879	151112	19040	80382	20440	24080	13087	69933	13299	254849	15112	77580
420	0,453	0,27	0,456	0,269	0,479	0,302	19750	160126	19860	83189	21409	24682	14028	73059	14292	260467	16222	80848
430	0,472	0,281	0,475	0,278	0,496	0,309	20802	168413	20780	85505	22377	25277	15055	76180	15267	266181	17275	84056
440	0,49	0,291	0,492	0,289	0,512	0,317	21935	176541	21751	87606	23547	25896	16038	79255	16313	271443	18312	87265
450	0,508	0,3	0,506	0,296	0,523	0,325	23049	184808	22809	89145	24546	26362	17115	82471	17333	276420	19327	90553
460	0,526	0,311	0,521	0,304	0,539	0,33	24272	191948	23828	90554	25587	27015	18234	85494	18355	279250	20359	93642
470	0,543	0,319	0,537	0,313	0,552	0,338	25494	199829	24910	91740	26617	27541	19238	88284	19316	282985	21289	96785
480	0,558	0,328	0,551	0,32	0,565	0,348	26772	206857	25992	92601	27621	28100	20192	90726	20363	286733	22277	99962
490	0,572	0,335	0,565	0,327	0,577	0,354	28002	213447	26997	93785	28566	28668	21232	92692	21218	289318	23013	103055
500	0,586	0,341	0,577	0,335	0,587	0,36	29271	218252	27947	94617	29472	29202	22113	93879	22153	293084	23815	105875
510	0,598	0,35	0,589	0,343	0,594	0,367	30457	223514	28964	95415	30297	29774	22909	95933	22931	296315	24458	109146
520	0,613	0,363	0,597	0,35	0,601	0,371	31601	229418	29840	96524	31141	30396	23711	97975	23682	300066	25049	111744
530	0,621	0,377	0,606	0,358	0,605	0,378	32644	236866	30729	97180	32036	30973	24333	100880	24310	302678	25425	114572
540	0,629	0,387	0,612	0,368	0,608	0,384	33696	240743	31496	97883	32783	31634	24803	102644	24762	305289	25758	117135
550	0,637	0,397	0,618	0,371	0,609	0,388	34560	246080	32284	98312	33591	32233	25265	104344	25234	307058	26056	120141
560	0,64	0,402	0,621	0,378	0,612	0,394	35515	248154	33078	99394	34437	32922	25670	104685	25640	310571	26331	123029
570	0,642	0,413	0,622	0,385	0,609	0,399	36388	250702	33797	100043	35310	33560	25862	105122	25884	310794	26453	125508
580	0,643	0,424	0,622	0,393	0,608	0,404	37229	254416	34673	100793	36206	34249	26120	107107	26198	313195	26588	128452
590	0,642	0,438	0,622	0,4	0,605	0,408	37963	257809	35561	101486	36906	34839	26160	108423	26343	315112	26620	131214
600	0,639	0,452	0,62	0,408	0,603	0,412	38810	261171	36386	102203	37637	35412	26286	108894	26406	316916	26733	133524
610	0,637	0,462	0,617	0,417	0,6	0,417	39629	263267	37233	103080	38235	36141	26263	109963	26421	318934	26688	135660
620	0,635	0,472	0,614	0,422	0,597	0,421	40266	264948	37973	103457	38856	36682	26328	110599	26529	319806	26699	138129
630	0,626	0,482	0,611	0,43	0,595	0,425	40878	266500	38668	103674	39148	37280	26296	110837	26465	318651	26725	139991
640	0,626	0,492	0,609	0,439	0,594	0,427	41353	268980	39296	104460	39630	37795	26330	110852	26452	320008	26638	142279
650	0,624	0,5	0,605	0,443	0,592	0,431	41881	269634	39828	104911	39920	38411	26370	111301	26556	320688	26636	144594
660	0,618	0,511	0,602	0,448	0,592	0,434	42447	271345	40306	105360	40256	39055	26380	112007	26515	320619	26561	146722
670	0,619	0,519	0,6	0,453	0,592	0,437	42819	273484	40783	105794	40312	39584	26352	112779	26487	320237	26459	148531
680	0,615	0,529	0,598	0,458	0,59	0,438	43277	275293	41284	106104	40487	40055	26305	113246	26519	320407	26481	150801
690	0,618	0,543	0,597	0,463	0,589	0,441	43530	276470	41656	106562	40655	40477	26235	113850	26471	319265	26479	151988
700	0,617	0,547	0,59	0,461	0,586	0,443	43745	277842	41887	107102	40706	41115	26244	114016	26358	317409	26424	153148

