time	1	2	3	4	5	6
0	0.074	0.073	0.075	0.074	0.074	0.075
10	0.075	0.074	0.075	0.075	0.075	0.075
20	0.075	0.075	0.076	0.075	0.076	0.076
30	0.076	0.076	0.077	0.076	0.076	0.077
40	0.076	0.076	0.078	0.077	0.076	0.078
50	0.077	0.077	0.079	0.077	0.077	0.078
60	0.078	0.078	0.08	0.078	0.077	0.079
70	0.079	0.079	0.081	0.079	0.078	0.08
80	0.08	0.08	0.083	0.079	0.079	0.081
90	0.081	0.081	0.085	0.08	0.079	0.081
100	0.083	0.083	0.087	0.082	0.08	0.083
110	0.084	0.085	0.09	0.083	0.081	0.085
120	0.087	0.088	0.094	0.085	0.082	0.087
130	0.089	0.09	0.098	0.087	0.083	0.088
140	0.092	0.094	0.103	0.089	0.085	0.091
150	0.096	0.098	0.109	0.091	0.086	0.094
160	0.101	0.103	0.116	0.094	0.088	0.097
170	0.106	0.109	0.122	0.098	0.09	0.101
180	0.112	0.115	0.129	0.102	0.092	0.105
190	0.118	0.122	0.137	0.106	0.096	0.11
200	0.125	0.129	0.147	0.111	0.099	0.116
210	0.132	0.137	0.158	0.115	0.102	0.122
220	0.141	0.146	0.169	0.121	0.107	0.128
230	0.151	0.157	0.181	0.126	0.111	0.134
240	0.162	0.169	0.192	0.132	0.116	0.142
250	0.173	0.18	0.204	0.138	0.121	0.151
260	0.186	0.192	0.217	0.142	0.126	0.16
270	0.199	0.206	0.233	0.149	0.132	0.171
280	0.211	0.217	0.247	0.158	0.139	0.18
290	0.225	0.232	0.262	0.163	0.145	0.191
300	0.239	0.247	0.278	0.169	0.153	0.201
310	0.255	0.262	0.294	0.178	0.162	0.21
320	0.27	0.275	0.313	0.187	0.171	0.22
330	0.286	0.292	0.332	0.195	0.181	0.228
340	0.303	0.309	0.346	0.203	0.191	0.236
350	0.32	0.325	0.364	0.209	0.201	0.246
360	0.341	0.343	0.38	0.227	0.214	0.255
370	0.359	0.361	0.394	0.228	0.222	0.263
380	0.379	0.381	0.415	0.235	0.232	0.272
390	0.396	0.4	0.43	0.243	0.242	0.28
400	0.415	0.419	0.453	0.258	0.257	0.288
410	0.436	0.44	0.468	0.258	0.259	0.295
420	0.453	0.456	0.479	0.27	0.269	0.302
430	0.472	0.475	0.496	0.281	0.278	0.309
440	0.49	0.492	0.512	0.291	0.289	0.317
450	0.508	0.506	0.523	0.3	0.296	0.325
460	0.526	0.521	0.539	0.311	0.304	0.33
470	0.543	0.537	0.552	0.319	0.313	0.338
480	0.558	0.551	0.565	0.328	0.32	0.348
490	0.572	0.565	0.577	0.335	0.327	0.354
500	0.586	0.577	0.587	0.341	0.335	0.36
510	0.598	0.589	0.594	0.35	0.343	0.367
520	0.613	0.597	0.601	0.363	0.35	0.371
530	0.621	0.606	0.605	0.377	0.358	0.378
540	0.629	0.612	0.608	0.387	0.368	0.384
550	0.637	0.618	0.609	0.397	0.371	0.388
560	0.64	0.621	0.612	0.402	0.378	0.394
570	0.642	0.622	0.609	0.413	0.385	0.399
580	0.643	0.622	0.608	0.424	0.393	0.404
590	0.642	0.622	0.605	0.438	0.4	0.408
600	0.639	0.62	0.603	0.452	0.408	0.412
610	0.637	0.617	0.6	0.462	0.417	0.417
620	0.635	0.614	0.597	0.472	0.422	0.421
630	0.626	0.611	0.595	0.482	0.43	0.425
640	0.626	0.609	0.594	0.492	0.439	0.427
650	0.624	0.605	0.592	0.5	0.443	0.431
660	0.618	0.602	0.592	0.511	0.448	0.434
670	0.619	0.6	0.592	0.519	0.453	0.437
680	0.615	0.598	0.59	0.529	0.458	0.438
690	0.618	0.597	0.589	0.543	0.463	0.441
700	0.617	0.59	0.586	0.547	0.461	0.443
